Timestamp,Time,Source,Destination,Discovery,Packet_length,Payload_length,Sequence_number,Mac,Manufacturer,Src_device,Dst_device,Burst
1621911792,2021-05-25 08:03:12,0x00004360,0x00000000,0x00000001,53,16,59,00:0d:6f:00:0b:5c:a1:98,Ember Corporation,ZED,ZC,236
1621911792,2021-05-25 08:03:12,0x00004360,0x00000000,0x00000001,45,8,60,00:0d:6f:00:0b:5c:a1:98,Ember Corporation,ZED,ZC,236
1621911792,2021-05-25 08:03:12,0x00000000,0x00004360,0x00000001,45,8,106,24:fd:5b:00:00:02:1d:72,Ember Corporation,ZC,ZED,236
1621911798,2021-05-25 08:03:18,0x00004360,0x00000000,0x00000001,52,15,62,00:0d:6f:00:0b:5c:a1:98,Ember Corporation,ZED,ZC,237
1621911799,2021-05-25 08:03:19,0x00000000,0x00004360,0x00000001,45,8,107,24:fd:5b:00:00:02:1d:72,Ember Corporation,ZC,ZED,237
1621911799,2021-05-25 08:03:19,0x00004360,0x00000000,0x00000001,53,16,64,00:0d:6f:00:0b:5c:a1:98,Ember Corporation,ZED,ZC,237
1621911799,2021-05-25 08:03:19,0x00000000,0x00004360,0x00000001,45,8,108,24:fd:5b:00:00:02:1d:72,Ember Corporation,ZC,ZED,237
1621911879,2021-05-25 08:04:39,0x0000f6cd,0x00000000,0x00000001,52,15,47,00:12:4b:00:22:ee:28:a8,Texas Instruments,ZR,ZC,238
1621911880,2021-05-25 08:04:40,0x00000000,0x0000f6cd,0x00000000,50,13,116,24:fd:5b:00:00:02:1d:72,Texas Instruments,ZC,ZR,238
1621911880,2021-05-25 08:04:40,0x0000f6cd,0x00000000,0x00000001,45,8,49,00:12:4b:00:22:ee:28:a8,Texas Instruments,ZR,ZC,238
1621911884,2021-05-25 08:04:44,0x0000ebb8,0x00000000,0x00000001,53,16,43,24:fd:5b:00:01:04:50:a5,"SmartThings, Inc.",ZR,ZC,239
1621911884,2021-05-25 08:04:44,0x00000000,0x0000ebb8,0x00000001,45,8,118,24:fd:5b:00:00:02:1d:72,"SmartThings, Inc.",ZC,ZR,239
1621911897,2021-05-25 08:04:57,0x0000cbf8,0x00000000,0x00000001,53,16,131,28:6d:97:00:01:11:01:c1,"SAMJIN Co., Ltd.",ZED,ZC,240
1621911897,2021-05-25 08:04:57,0x00000000,0x0000cbf8,0x00000001,45,8,120,24:fd:5b:00:00:02:1d:72,"SAMJIN Co., Ltd.",ZC,ZED,240
1621911897,2021-05-25 08:04:57,0x00000000,0x0000cbf8,0x00000000,50,13,122,24:fd:5b:00:00:02:1d:72,"SAMJIN Co., Ltd.",ZC,ZED,240
1621911897,2021-05-25 08:04:57,0x0000cbf8,0x00000000,0x00000000,45,8,132,28:6d:97:00:01:11:01:c1,"SAMJIN Co., Ltd.",ZED,ZC,240
1621911918,2021-05-25 08:05:18,0x00003d35,0x00000000,0x00000001,69,32,244,24:fd:5b:00:01:07:18:e8,"SmartThings, Inc.",ZED,ZC,241
1621911919,2021-05-25 08:05:19,0x00000000,0x00003d35,0x00000001,45,8,125,24:fd:5b:00:00:02:1d:72,"SmartThings, Inc.",ZC,ZED,241
1621911919,2021-05-25 08:05:19,0x00003d35,0x00000000,0x00000001,65,28,246,24:fd:5b:00:01:07:18:e8,"SmartThings, Inc.",ZED,ZC,241
1621911920,2021-05-25 08:05:20,0x00000000,0x00003d35,0x00000001,45,8,126,24:fd:5b:00:00:02:1d:72,"SmartThings, Inc.",ZC,ZED,241
1621911920,2021-05-25 08:05:20,0x00003d35,0x00000000,0x00000001,65,28,248,24:fd:5b:00:01:07:18:e8,"SmartThings, Inc.",ZED,ZC,241
1621911921,2021-05-25 08:05:21,0x00000000,0x00003d35,0x00000001,45,8,127,24:fd:5b:00:00:02:1d:72,"SmartThings, Inc.",ZC,ZED,241
1621911921,2021-05-25 08:05:21,0x00005465,0x00000000,0x00000000,57,20,21,08:6b:d7:ff:fe:6e:6d:99,Silicon Laboratories,ZR,ZC,241
1621911921,2021-05-25 08:05:21,0x00000000,0x00005465,0x00000000,49,8,128,24:fd:5b:00:00:02:1d:72,Silicon Laboratories,ZC,ZR,241
1621911921,2021-05-25 08:05:21,0x00000000,0x00005465,0x00000000,53,12,130,24:fd:5b:00:00:02:1d:72,Silicon Laboratories,ZC,ZR,241
1621911921,2021-05-25 08:05:21,0x00005465,0x00000000,0x00000000,45,8,23,08:6b:d7:ff:fe:6e:6d:99,Silicon Laboratories,ZR,ZC,241
1621911921,2021-05-25 08:05:21,0x00003d35,0x00000000,0x00000001,65,28,250,24:fd:5b:00:01:07:18:e8,"SmartThings, Inc.",ZED,ZC,241
1621911922,2021-05-25 08:05:22,0x00000000,0x00003d35,0x00000001,45,8,131,24:fd:5b:00:00:02:1d:72,"SmartThings, Inc.",ZC,ZED,241
1621911922,2021-05-25 08:05:22,0x00003d35,0x00000000,0x00000001,65,28,252,24:fd:5b:00:01:07:18:e8,"SmartThings, Inc.",ZED,ZC,241
1621911923,2021-05-25 08:05:23,0x00000000,0x00003d35,0x00000001,45,8,132,24:fd:5b:00:00:02:1d:72,"SmartThings, Inc.",ZC,ZED,241
1621911928,2021-05-25 08:05:28,0x00003d35,0x00000000,0x00000001,53,16,254,24:fd:5b:00:01:07:18:e8,"SmartThings, Inc.",ZED,ZC,242
1621911928,2021-05-25 08:05:28,0x00000000,0x00003d35,0x00000001,45,8,134,24:fd:5b:00:00:02:1d:72,"SmartThings, Inc.",ZC,ZED,242
1621911932,2021-05-25 08:05:32,0x00003d35,0x00000000,0x00000001,54,17,0,24:fd:5b:00:01:07:18:e8,"SmartThings, Inc.",ZED,ZC,243
1621911933,2021-05-25 08:05:33,0x00000000,0x00003d35,0x00000001,45,8,135,24:fd:5b:00:00:02:1d:72,"SmartThings, Inc.",ZC,ZED,243
